time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1704904274,395278.33,2.410713E+08,354516.21,50000.05,3.049000E+07,44838.18
1704904284,316279.18,2.442340E+08,353962.08,40001.55,3.089000E+07,44768.09
1704904294,403197.27,2.482665E+08,354665.53,50993.31,3.140000E+07,44857.03
1704904304,379690.30,2.520630E+08,355017.95,48005.30,3.188000E+07,44901.37
1704904314,395146.89,2.560167E+08,355575.61,49971.14,3.238000E+07,44971.82
1704904324,332171.35,2.593364E+08,355255.20,42025.58,3.280000E+07,44931.49
1704904334,395211.19,2.632901E+08,355795.36,49980.19,3.330000E+07,44999.74
1704904344,339979.59,2.666887E+08,355584.56,43015.49,3.373000E+07,44973.29
1704904354,340051.48,2.700894E+08,355380.16,42996.63,3.416000E+07,44947.28
1704904364,300360.05,2.730928E+08,354665.67,38003.27,3.454000E+07,44857.11
1704904374,268796.79,2.757809E+08,353564.74,33998.43,3.488000E+07,44717.89
1704904384,331962.39,2.791003E+08,353291.31,42002.59,3.530000E+07,44683.52
1704904394,371663.32,2.828169E+08,353520.96,47001.03,3.577000E+07,44712.49
1704904404,331796.41,2.861379E+08,353252.50,41960.68,3.619000E+07,44678.48
1704904414,379591.17,2.899310E+08,353573.46,48035.99,3.667000E+07,44719.40
1704904424,387326.82,2.938056E+08,353980.27,48983.54,3.716000E+07,44770.79
1704904434,355753.09,2.973640E+08,354001.38,44988.71,3.761000E+07,44773.38
1704904444,356011.54,3.009227E+08,354025.02,45018.11,3.806000E+07,44776.26
1704904454,395463.19,3.048758E+08,354506.68,50018.60,3.856000E+07,44837.20
1704904464,394448.22,3.088298E+08,354966.86,49880.21,3.906000E+07,44895.30
1704904474,293246.16,3.117553E+08,354267.15,37087.88,3.943000E+07,44806.79
1704904484,379512.62,3.155502E+08,354550.80,48002.63,3.991000E+07,44842.69
1704904494,403292.34,3.195837E+08,355092.44,50993.57,4.042000E+07,44911.05
1704904504,347879.64,3.230620E+08,355013.18,44005.48,4.086000E+07,44901.10
1704904514,339961.97,3.264623E+08,354849.55,42991.74,4.129000E+07,44880.34
1704904524,292101.38,3.293883E+08,354173.69,36936.37,4.166000E+07,44794.77
1704904534,316392.71,3.325512E+08,353771.91,40013.62,4.206000E+07,44743.93
1704904544,340467.45,3.359508E+08,353632.07,43064.02,4.249000E+07,44726.27
1704904554,332066.59,3.392720E+08,353407.40,41993.56,4.291000E+07,44697.80
1704904564,315932.98,3.424338E+08,353020.76,39968.09,4.331000E+07,44649.00
1704904574,380052.93,3.462307E+08,353296.33,48046.39,4.379000E+07,44683.64
1704904584,339974.24,3.496304E+08,353161.77,43000.66,4.422000E+07,44666.64
1704904594,355046.30,3.531880E+08,353180.65,44909.32,4.467000E+07,44669.07
1704904604,340535.82,3.565869E+08,353055.69,43081.34,4.510000E+07,44653.38
1704904614,395373.27,3.605401E+08,353470.51,50007.22,4.560000E+07,44705.86
1704904624,403397.28,3.645740E+08,353955.22,51001.26,4.611000E+07,44766.98
1704904634,355893.58,3.681329E+08,353973.86,44999.58,4.656000E+07,44769.22
1704904644,363715.18,3.717700E+08,354066.63,46000.67,4.702000E+07,44780.94
1704904654,355817.72,3.753285E+08,354083.15,44996.54,4.747000E+07,44782.98
1704904664,363646.44,3.789650E+08,354172.53,45999.44,4.793000E+07,44794.35
1704904674,315739.52,3.821269E+08,353816.17,39942.67,4.833000E+07,44749.36
1704904684,300849.00,3.851309E+08,353330.95,38056.73,4.871000E+07,44688.05
1704904694,355674.41,3.886877E+08,353352.26,45000.15,4.916000E+07,44690.89
1704904704,395021.52,3.926422E+08,353728.06,49945.57,4.966000E+07,44738.28
1704904714,308415.74,3.957241E+08,353323.79,39028.78,5.005000E+07,44687.34
1704904724,371400.17,3.994408E+08,353483.87,46965.59,5.052000E+07,44707.52
1704904734,395751.67,4.033941E+08,353854.25,50053.22,5.102000E+07,44754.36
1704904744,379575.45,4.071898E+08,354077.90,48000.74,5.150000E+07,44782.59
1704904754,308277.54,4.102726E+08,353683.08,39000.22,5.189000E+07,44732.74
1704904764,347844.42,4.137511E+08,353633.17,43999.29,5.233000E+07,44726.47
1704904774,387203.96,4.176245E+08,353917.77,48982.27,5.282000E+07,44762.55
1704904784,371708.02,4.213403E+08,354067.22,47015.84,5.329000E+07,44781.48
1704904794,307885.32,4.244236E+08,353681.83,38944.47,5.368000E+07,44732.77
1704904804,364114.34,4.280608E+08,353767.95,46049.95,5.414000E+07,44743.64
1704904814,403187.92,4.320911E+08,354172.88,51019.19,5.465000E+07,44795.06
1704904824,371553.48,4.358071E+08,354314.20,46994.50,5.512000E+07,44812.94
1704904834,300483.85,4.388115E+08,353880.15,38005.36,5.550000E+07,44758.05
1704904844,260856.87,4.414203E+08,353135.91,32997.68,5.583000E+07,44663.96
1704904854,324150.94,4.446615E+08,352905.89,41003.52,5.624000E+07,44634.91
1704904864,371750.03,4.483790E+08,353054.27,46999.64,5.671000E+07,44653.53
1704904874,339955.66,4.517788E+08,352951.93,42996.92,5.714000E+07,44640.59
1704904884,347756.24,4.552567E+08,352911.65,43995.92,5.758000E+07,44635.59
1704904894,355961.63,4.588157E+08,352935.11,45008.26,5.803000E+07,44638.46
