time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1704969536,339954.62,1.952478E+08,287126.30,67959.26,3.905000E+07,57425.91
1704969546,284965.88,1.980964E+08,287095.00,57020.23,3.962000E+07,57420.03
1704969556,320217.06,2.012981E+08,287568.10,64010.53,4.026000E+07,57514.17
1704969566,245111.08,2.037490E+08,286970.16,49003.97,4.075000E+07,57394.32
1704969576,239912.98,2.061483E+08,286316.54,47996.68,4.123000E+07,57263.78
1704969586,244956.59,2.085978E+08,285749.99,49001.48,4.172000E+07,57150.61
1704969596,245154.38,2.110494E+08,285201.38,48998.08,4.221000E+07,57040.43
1704969606,275032.61,2.137998E+08,285065.79,54998.36,4.276000E+07,57013.20
1704969616,334965.70,2.171493E+08,285722.33,67003.46,4.343000E+07,57144.65
1704969626,199987.66,2.191492E+08,284608.91,40000.57,4.383000E+07,56922.00
1704969636,289980.28,2.220491E+08,284677.78,57998.22,4.441000E+07,56935.80
1704969646,179972.31,2.238488E+08,283352.37,35999.34,4.477000E+07,56670.78
1704969656,244978.47,2.262985E+08,282872.72,49002.17,4.526000E+07,56574.92
1704969666,295085.69,2.292492E+08,283023.49,59002.02,4.585000E+07,56604.89
1704969676,245094.43,2.317002E+08,282560.94,49000.01,4.634000E+07,56512.14
1704969686,270039.71,2.344007E+08,282410.08,53998.26,4.688000E+07,56481.85
1704969696,360039.00,2.380009E+08,283334.20,72002.28,4.760000E+07,56666.62
1704969706,299865.26,2.409996E+08,283528.68,59999.85,4.820000E+07,56705.83
1704969716,214941.98,2.431490E+08,282731.17,43000.32,4.863000E+07,56546.47
1704969726,254862.64,2.456978E+08,282410.82,50996.45,4.914000E+07,56482.67
1704969736,205097.65,2.477487E+08,281532.30,41001.45,4.955000E+07,56306.75
1704969746,285047.27,2.505991E+08,281571.79,57000.97,5.012000E+07,56314.55
1704969756,269956.94,2.532987E+08,281442.73,53999.47,5.066000E+07,56288.83
1704969766,350029.81,2.567991E+08,282196.45,69999.00,5.136000E+07,56439.49
1704969776,249919.00,2.592989E+08,281845.52,49987.80,5.186000E+07,56369.35
1704969786,244962.19,2.617480E+08,281449.00,49009.32,5.235000E+07,56290.22
1704969796,214985.42,2.638979E+08,280741.96,43000.76,5.278000E+07,56148.85
1704969806,249954.99,2.663973E+08,280417.90,50002.84,5.328000E+07,56084.16
1704969816,309857.70,2.694959E+08,280724.58,61998.18,5.390000E+07,56145.76
1704969826,200031.75,2.714962E+08,279892.73,40001.71,5.430000E+07,55979.34
1704969836,189802.85,2.733952E+08,278972.98,37980.64,5.468000E+07,55795.58
1704969846,220129.41,2.755953E+08,278378.91,44022.76,5.512000E+07,55676.73
1704969856,249871.32,2.780953E+08,278093.68,49973.95,5.562000E+07,55619.67
1704969866,270105.38,2.807952E+08,278014.63,54024.12,5.616000E+07,55603.88
1704969876,244917.11,2.832448E+08,277690.09,48991.42,5.665000E+07,55539.04
1704969886,290060.94,2.861449E+08,277810.17,58009.31,5.723000E+07,55563.02
1704969896,310128.78,2.892460E+08,278120.90,62005.03,5.785000E+07,55624.96
1704969906,174826.42,2.909951E+08,277136.65,34982.32,5.820000E+07,55428.26
1704969916,290352.56,2.938972E+08,277261.27,58029.29,5.878000E+07,55452.79
1704969926,274894.88,2.966463E+08,277239.15,54996.73,5.933000E+07,55448.53
1704969936,254980.15,2.991959E+08,277033.06,51002.75,5.984000E+07,55407.36
1704969946,274889.04,3.019450E+08,277013.39,54995.81,6.039000E+07,55403.59
1704969956,239999.87,3.043456E+08,276676.83,47989.02,6.087000E+07,55336.17
1704969966,270096.67,3.070459E+08,276617.56,54012.93,6.141000E+07,55324.25
1704969976,280085.16,3.098467E+08,276648.52,56000.39,6.197000E+07,55330.29
1704969986,254827.11,3.123949E+08,276455.42,51002.06,6.248000E+07,55291.98
1704969996,204936.78,3.144444E+08,275828.04,40998.56,6.289000E+07,55166.60
1704970006,250055.29,3.169457E+08,275603.87,49985.07,6.339000E+07,55121.53
1704970016,275142.17,3.196961E+08,275599.89,55020.19,6.394000E+07,55120.66
1704970026,269992.66,3.223960E+08,275551.96,53999.41,6.448000E+07,55111.07
1704970036,265019.88,3.250462E+08,275462.71,53000.22,6.501000E+07,55093.18
1704970046,259813.97,3.276460E+08,275331.12,51966.79,6.553000E+07,55066.90
1704970056,270228.77,3.303469E+08,275288.62,54027.59,6.607000E+07,55058.24
1704970066,264949.90,3.329961E+08,275203.19,53006.62,6.660000E+07,55041.29
1704970076,225012.83,3.352462E+08,274791.80,45000.81,6.705000E+07,54958.99
1704970086,259933.09,3.378456E+08,274670.99,51997.82,6.757000E+07,54934.91
1704970096,259891.15,3.404444E+08,274551.81,52002.23,6.809000E+07,54911.26
1704970106,245076.09,3.428952E+08,274316.00,48998.98,6.858000E+07,54863.96
1704970116,314693.42,3.460451E+08,274636.75,62940.68,6.921000E+07,54928.12
1704970126,220261.61,3.482458E+08,274208.98,44039.43,6.965000E+07,54842.46
1704970136,335002.78,3.515958E+08,274683.94,66999.36,7.032000E+07,54937.44
1704970146,229954.24,3.538952E+08,274337.22,46002.69,7.078000E+07,54868.18
1704970156,240112.77,3.562966E+08,274073.93,47996.08,7.126000E+07,54815.32
1704970166,64947.30,3.569460E+08,272477.67,13000.98,7.139000E+07,54496.15
1704970176,319991.86,3.601465E+08,272837.69,63987.89,7.203000E+07,54568.07
1704970186,184973.57,3.619959E+08,272177.18,37006.88,7.240000E+07,54436.05
1704970196,164921.02,3.636451E+08,271376.77,33000.36,7.273000E+07,54276.09
1704970206,239931.23,3.660446E+08,271143.82,47996.16,7.321000E+07,54229.57
1704970216,174923.54,3.677939E+08,270436.29,34998.55,7.356000E+07,54088.16
1704970226,344935.07,3.712429E+08,270980.02,69007.10,7.425000E+07,54197.04
1704970236,255058.74,3.737935E+08,270864.65,50999.27,7.476000E+07,54173.87
1704970246,224947.09,3.760431E+08,270534.29,44998.06,7.521000E+07,54107.85
1704970256,230052.83,3.783435E+08,270245.15,46001.85,7.567000E+07,54049.96
1704970266,274856.94,3.810922E+08,270277.86,54998.67,7.622000E+07,54056.68
1704970276,275099.81,3.838434E+08,270311.82,54995.80,7.677000E+07,54063.30
1704970286,204963.55,3.858930E+08,269854.84,40999.59,7.718000E+07,53971.94
1704970296,250086.91,3.883935E+08,269717.58,50007.30,7.768000E+07,53944.41

Summary:
loaded 388978778 metrics in 1445.166sec with 4 workers (mean rate 269158.61 metrics/sec)
loaded 77797158 rows in 1445.166sec with 4 workers (mean rate 53832.69 rows/sec)
